NUMFOU;CODART;DELLIV;QTE1;PRIX1;QTE2;PRIX2;QTE3;PRIX3
8700;B001;15;0;150;50;145;100;140
8700;B002;15;0;210;50;200;100;185
120;D035;0;0;40;0;0;0;0
9120;D035;5;0;40;100;30;0;0
120;I100;90;0;700;50;600;120;500
540;I100;70;0;710;60;630;100;600
9120;I100;60;0;800;70;600;90;500
9150;I100;90;0;650;90;600;200;590
9180;I100;30;0;720;50;670;100;490
120;I105;90;10;705;50;630;120;500
540;I105;70;0;810;60;645;100;600
8700;I105;30;0;720;50;670;100;510
9120;I105;60;0;920;70;800;90;700
9150;I105;90;0;685;90;600;200;590
120;I108;90;5;795;30;720;100;680
9120;I108;60;0;920;70;820;100;780
9120;I110;60;0;950;70;850;90;790
9180;I110;90;0;900;70;870;90;835
120;P220;15;0;3700;100;3500;0;0
8700;P220;20;50;3500;100;3350;0;0
120;P230;30;0;5200;100;5000;0;0
8700;P230;60;0;5000;50;4900;0;0
120;P240;15;0;2200;100;2000;0;0
120;P250;30;0;1500;100;1400;500;1200
9120;P250;30;0;1500;100;1400;500;1200
9120;R080;10;0;120;100;100;0;0
9120;R132;5;0;275;0;0;0;0